filename;divider;enhancer;lowbandCompressor;lowbandImpulseNumber;lowbandSeparateExcitation;highbandCompressor;highbandImpulseNumber;highbandSeparateExcitation;PEAQ;PESQ
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;8;SepExc;G7231Compressor;32;SepExc;-2.149238222178863;3.346
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;8;SepExc;G7231Compressor;4;;-2.832254178203754;3.290
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;8;SepExc;G7231Compressor;8;;-2.653018496727066;3.311
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;8;SepExc;G7231Compressor;16;;-2.4778166029189594;3.322
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;8;SepExc;G7231Compressor;32;;-2.4516457621430696;3.327
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;8;SepExc;DummyCompressor;;;-2.133990632613818;3.351
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;16;SepExc;G7231Compressor;4;SepExc;-2.310621162206708;3.858
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;16;SepExc;G7231Compressor;8;SepExc;-1.7668866616200085;3.912
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;16;SepExc;G7231Compressor;16;SepExc;-1.483260520210191;3.932
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;16;SepExc;G7231Compressor;32;SepExc;-1.3023046388288355;3.942
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;16;SepExc;G7231Compressor;4;;-2.226280254946424;3.881
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;16;SepExc;G7231Compressor;8;;-1.937798937708337;3.905
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;16;SepExc;G7231Compressor;16;;-1.6831353008464687;3.920
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;16;SepExc;G7231Compressor;32;;-1.5961247333193738;3.922
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;16;SepExc;DummyCompressor;;;-1.248614927624025;3.945
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;32;SepExc;G7231Compressor;4;SepExc;-1.8201842827449464;4.217
parole16.WAVSepExc;QMFDivider;HighbandBooster20.0dB;G7231Compressor;32;SepExc;G7231Compressor;8;SepExc;-1.21703615077549;4.295
